Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,18.557620169439865
Control,Aesthetic_Appeal,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,89.82303202395774
Control,Aesthetic_Appeal,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,151.6070171006567
Control,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,26.11491495574301
Control,Aesthetic_Appeal,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,1.8700462424393796
Control,Aesthetic_Appeal,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,47.90686874873618
Control,Aesthetic_Appeal,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-6.589231539305057
Control,Aesthetic_Appeal,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,14.541507064684678
Control,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,27.864861713856154
Control,Aesthetic_Appeal,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,-4.195321878819945
Control,Aesthetic_Appeal,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,12.327967967353727
Control,Aesthetic_Appeal,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,14.891214374368118
Control,Aesthetic_Appeal,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,-3.497046415590344
Control,Aesthetic_Appeal,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,22.724023696717193
Control,Aesthetic_Appeal,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,24.16827899677123
Control,Aesthetic_Appeal,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,32.431969586468306
Control,Aesthetic_Appeal,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-15.998261753472628
Control,Aesthetic_Appeal,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,97.3686111336788
Control,Aesthetic_Appeal,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,-7.738240972835412
Control,Aesthetic_Appeal,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,11.003361607402317
Control,Aesthetic_Appeal,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,43.7180507219569
Control,Aesthetic_Appeal,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,12.910537992410761
Control,Aesthetic_Appeal,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,95.98677800552916
Control,Aesthetic_Appeal,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-9.153406121879442
Control,Aesthetic_Appeal,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,-1.325360648278925
Control,Aesthetic_Appeal,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,0.8838422616811255
Control,Aesthetic_Appeal,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,6.325006450685213
Control,Aesthetic_Appeal,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,18.66038328691743
Control,Aesthetic_Appeal,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,1.0635668072026254
Control,Aesthetic_Appeal,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,-0.39304186981414846
Control,Aesthetic_Appeal,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,13.998103809465004
Control,Aesthetic_Appeal,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,86.92467363888538
Control,Aesthetic_Appeal,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,39.04426098668283
Control,Aesthetic_Appeal,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,12.19235525096511
Control,Aesthetic_Appeal,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,33.934942865451646
Control,Aesthetic_Appeal,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,3.348964892772876
Control,Aesthetic_Appeal,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,-3.0889359767268996
